Selling_Price,Present_Price,Kms_Driven,Owner,Price_depriciation,Car_age,Fuel_Type_Diesel,Transmission_Manual
3.35,0.0571087993064586,0.05305305305305305,0.0,0.03838804933124891,0.26666666666666666,0.0,1.0
4.75,0.09991330732553098,0.08508508508508507,0.0,0.0826819524057669,0.3333333333333333,1.0,1.0
7.25,0.10327264846120503,0.012812812812812812,0.0,0.044641306235886746,0.06666666666666665,0.0,1.0
2.85,0.041504117902037285,0.009409409409409408,0.0,0.022060100746916805,0.4666666666666666,0.0,1.0
4.6,0.07097962722149978,0.08398398398398398,0.0,0.038909154073302074,0.26666666666666666,1.0,1.0
9.25,0.10305591677503251,0.0031451451451451453,0.0,0.009553586937641134,0.0,1.0,1.0
6.75,0.08452535760728218,0.036628628628628625,0.0,0.023276011811707475,0.2,0.0,1.0
6.5,0.08983528391850888,0.06592392392392392,0.0,0.03612992878235191,0.2,1.0,1.0
8.75,0.09286952752492415,0.039585585585585586,0.0,0.0019107173875282364,0.1333333333333333,1.0,1.0
7.45,0.09319462505418293,0.0838178178178178,0.0,0.02501302761855133,0.2,1.0,1.0
2.85,0.035543996532293023,0.003273273273273273,0.0,0.012506513809275666,0.06666666666666665,0.0,1.0
6.85,0.10901603814477678,0.10110110110110108,0.0,0.060795553239534506,0.2,1.0,1.0
7.5,0.10424794104898136,0.029029029029029027,0.0,0.04186208094493659,0.2,0.0,0.0
6.1,0.08008235804074555,0.05105105105105105,0.0,0.027444849748132716,0.2,0.0,1.0
2.25,0.0746640658864326,0.15400800800800798,0.0,0.08563487927740143,0.6000000000000001,0.0,1.0
7.75,0.11345903771131338,0.08508508508508507,0.0,0.05228417578599964,0.1333333333333333,1.0,1.0
7.25,0.11345903771131338,0.08243843843843843,0.0,0.06096925482021885,0.2,1.0,1.0
7.75,0.11345903771131338,0.08508508508508507,0.0,0.05228417578599964,0.1333333333333333,1.0,1.0
3.25,0.05169050715214564,0.07007007007007006,0.0,0.031439986103873545,0.2,0.0,1.0
2.65,0.08300823580407456,0.08196596596596596,0.0,0.09206183776272366,0.5333333333333332,0.0,1.0
2.85,0.0393368010403121,0.04904904904904905,0.0,0.018586069133229115,0.1333333333333333,0.0,1.0
4.9,0.05840918942349371,0.0038038038038038036,0.0,0.013548723293381965,0.06666666666666665,0.0,1.0
4.4,0.08333333333333333,0.09909909909909909,0.0,0.062185165885009545,0.4666666666666666,0.0,0.0
2.5,0.034026874729085395,0.08964964964964964,0.0,0.016154247003647735,0.26666666666666666,0.0,1.0
2.9,0.044321629822280016,0.11287087087087086,0.0,0.025707833941288873,0.3333333333333333,0.0,1.0
3.0,0.05060684872128306,0.03903903903903904,0.0,0.03404550981413931,0.4666666666666666,0.0,1.0
4.15,0.06014304291287387,0.10938538538538538,0.0,0.029355567135660933,0.3333333333333333,0.0,1.0
6.0,0.06686172518422194,0.03143143143143143,0.0,0.007990272711481679,0.06666666666666665,0.0,1.0
1.95,0.0393368010403121,0.08817217217217216,0.0,0.034219211394823694,0.5333333333333332,0.0,1.0
7.45,0.10901603814477678,0.08908908908908908,0.0,0.05037345839847144,0.2,1.0,1.0
3.1,0.06133506718682272,0.10197997997997997,0.0,0.049504950495049514,0.39999999999999997,1.0,1.0
2.35,0.04952319029042045,0.1075075075075075,0.0,0.04359909675178043,0.4666666666666666,0.0,1.0
4.95,0.07769830949284785,0.07707707707707706,0.0,0.04359909675178045,0.26666666666666666,1.0,1.0
6.0,0.10435630689206761,0.08908908908908908,0.0,0.06809101962827861,0.26666666666666666,1.0,1.0
5.5,0.08387516254876463,0.08908908908908908,0.0,0.04394649991314922,0.26666666666666666,1.0,1.0
2.95,0.08040745557000434,0.09909509509509508,0.0,0.08268195240576691,0.4666666666666666,0.0,1.0
4.65,0.07455570004334634,0.09663063063063061,0.0,0.04377279833246483,0.2,0.0,1.0
0.35,0.021239705244906804,0.25325325325325326,0.0,0.033003300330033,1.0,0.0,1.0
3.0,0.037277850021673165,0.01917717717717718,0.0,0.012680215389960047,0.1333333333333333,0.0,1.0
2.25,0.08300823580407456,0.12312312312312311,0.0,0.09900990099009903,1.0,0.0,1.0
5.85,0.08181621153012571,0.048096096096096094,0.0,0.03456661455619247,0.1333333333333333,0.0,0.0
2.55,0.03966189856957087,0.0925045045045045,0.0,0.024318221295813798,0.26666666666666666,0.0,1.0
1.95,0.07401387082791505,0.1151151151151151,0.0,0.08980371721382667,0.6666666666666667,0.0,1.0
5.5,0.08387516254876463,0.09065065065065064,0.0,0.04394649991314922,0.26666666666666666,1.0,1.0
1.25,0.025682704811443434,0.09909909909909909,0.0,0.02449192287649818,0.39999999999999997,0.0,1.0
7.5,0.1270047680970958,0.029029029029029027,0.0,0.07833941288865728,0.26666666666666666,0.0,0.0
2.65,0.04952319029042045,0.1281921921921922,0.0,0.03838804933124891,0.3333333333333333,0.0,1.0
1.05,0.041504117902037285,0.1291291291291291,0.0,0.05332638527010597,0.8,0.0,1.0
5.8,0.08008235804074555,0.05079079079079079,0.0,0.03265589716866424,0.2,0.0,1.0
7.75,0.0972041612483745,0.07307307307307306,0.0,0.026228938683342008,0.06666666666666665,0.0,0.0
14.9,0.3282401387082791,0.2086226226226226,0.0,0.2723640785131145,0.39999999999999997,1.0,0.0
23.0,0.3282401387082791,0.07907907907907907,0.0,0.13166579815876325,0.2,1.0,0.0
18.0,0.21077156480277418,0.029029029029029027,0.0,0.03022407503908285,0.06666666666666665,1.0,0.0
16.0,0.3282401387082791,0.26926926926926925,0.0,0.25325690463783224,0.3333333333333333,1.0,0.0
2.75,0.10717381881231038,0.17917917917917917,0.0,0.1290602744484975,0.8666666666666667,0.0,1.0
3.6,0.15951452102297356,0.1391391391391391,0.0,0.19819350356088242,0.6000000000000001,0.0,0.0
4.5,0.07531426094495015,0.08014814814814814,0.0,0.047594233107521276,0.2,0.0,1.0
4.75,0.1974425661031643,0.09909909909909909,0.0,0.23901337502171272,0.5333333333333332,0.0,1.0
4.1,0.07022106631989597,0.07804804804804803,0.3333333333333333,0.046378322042730596,0.26666666666666666,0.0,1.0
19.99,0.3862158647594278,0.08108108108108107,0.0,0.27688031961090853,0.26666666666666666,1.0,0.0
6.95,0.1982011270047681,0.07908108108108107,0.0,0.20201493833593887,0.3333333333333333,0.0,1.0
4.5,0.0799739921976593,0.08025625625625625,0.0,0.055063401076949806,0.2,0.0,1.0
18.75,0.3862158647594278,0.15515515515515513,0.0,0.2984193156157722,0.26666666666666666,1.0,0.0
23.5,0.3862158647594278,0.09309309309309308,0.0,0.21591106479068964,0.2,1.0,0.0
33.0,0.3891417425227568,0.011011011011011011,0.0,0.0555845058190029,0.06666666666666665,1.0,0.0
4.75,0.07184655396618986,0.08908908908908908,0.0,0.03769324300851138,0.26666666666666666,1.0,1.0
19.75,0.2473992197659298,0.02102102102102102,0.0,0.058537432690637464,0.06666666666666665,0.0,0.0
9.25,0.2181404421326398,0.1171171171171171,0.0,0.1940246656244572,0.5333333333333332,1.0,1.0
4.35,0.14542696142175987,0.17517517517517517,0.0,0.16258467952058367,0.4666666666666666,0.0,1.0
14.25,0.22312527091460774,0.023023023023023025,0.0,0.11516414799374676,0.1333333333333333,0.0,1.0
3.95,0.06978760294755093,0.14114114114114112,0.0,0.048289039430258814,0.26666666666666666,1.0,1.0
4.5,0.13177286519289122,0.08908908908908908,0.0,0.1380927566440855,0.4666666666666666,1.0,1.0
7.45,0.1982011270047681,0.1111131131131131,0.0,0.19332985930171967,0.3333333333333333,0.0,1.0
